AAL	ɐ ɐ l
IMPEDIDAS	ĩ p e d i d ɐ ʃ
IMPEDIDO	ĩ p e d i d u
IMPEDIDOR	ĩ p e d i d o ɾ
IMPEDIDOS	ĩ p e d i d u ʃ
IMPEDIENTES	ĩ p e d i ẽ t i ʃ
IMPEDIMENTO	ĩ p e d i m ẽ t u
IMPEDIMENTOS	ĩ p e d i m ẽ t u ʃ
IMPEDIMOS	ĩ p e d i m u ʃ
IMPEDINDO	ĩ p e d ĩ d u
IMPEDIR	ĩ p e d i ɾ
IMPEDIRA	ĩ p e d i ɾ ɐ
IMPEDIRAM	ĩ p e d i ɾ ɐ̃ w
IMPEDIREI	ĩ p e d i ɾ e j
IMPEDIREM	ĩ p e d i ɾ ẽ
IMPEDIRIA	ĩ p e d i ɾ i ɐ
IMPEDIRIAM	ĩ p e d i ɾ i ɐ̃ w
IMPEDIRÁ	ĩ p e d i ɾ ɐ
IMPEDIRÁS	ĩ p e d i ɾ ɐ ʃ
IMPEDIRÃO	ĩ p e d i ɾ ɐ̃ w
IMPEDISSE	ĩ p e d i s i
IMPEDISSEM	ĩ p e d i s ẽ
IMPEDISTES	ĩ p e d i ʃ t i ʃ
IMPEDITIVA	ĩ p e d i t i v ɐ
IMPEDITIVAS	ĩ p e d i t i v ɐ ʃ
IMPEDITIVO	ĩ p e d i t i v u
IMPEDITIVOS	ĩ p e d i t i v u ʃ
IMPEDIU	ĩ p e d i w
IMPENDE	ĩ p ẽ d i
IMPENETRABILIDADE	ĩ p e n e t ɾ ɐ b i l i d ɐ d i
IMPENETRÁVEL	ĩ p e n e t ɾ ɐ v ɛ l
IMPENHORÁVEL	ĩ p e ɲ o ɾ ɐ v ɛ l
IMPENITENTE	ĩ p e n i t ẽ t i
IMPENITENTES	ĩ p e n i t ẽ t i ʃ
IMPENSÁVEL	ĩ p ẽ s ɐ v ɛ l
IMPERANTE	ĩ p e ɾ ɐ̃ t i
IMPERANTES	ĩ p e ɾ ɐ̃ t i ʃ
IMPERATIVA	ĩ p e ɾ ɐ t i v ɐ
IMPERATIVAMENTE	ĩ p e ɾ ɐ t i v ɐ m ẽ t i
IMPERATIVAS	ĩ p e ɾ ɐ t i v ɐ ʃ
IMPERATIVIDADE	ĩ p e ɾ ɐ t i v i d ɐ d i
IMPERATIVO	ĩ p e ɾ ɐ t i v u
IMPERATIVOS	ĩ p e ɾ ɐ t i v u ʃ
IMPERCEPTIVELMENTE	ĩ p e ɾ s e p i t i v ɛ w m ẽ t i
IMPERCEPTÍVEIS	ĩ p e ɾ s e p i t i v e j ʃ
IMPERCEPTÍVEL	ĩ p e ɾ s e p i t i v ɛ l
IMPERDOÁVEL	ĩ p e ɾ d o ɐ v ɛ l
IMPERDÍVEIS	ĩ p e ɾ d i v e j ʃ
IMPERDÍVEL	ĩ p e ɾ d i v ɛ l
IMPERECÍVEL	ĩ p e ɾ e s i v ɛ l
IMPERFECTIVO	ĩ p e ɾ f e k i t i v u
IMPERFEITAMENTE	ĩ p e ɾ f e j t ɐ m ẽ t i
IMPERIAL	ĩ p e ɾ i ɐ l
IMPERIOSAMENTE	ĩ p e ɾ i ɔ z ɐ m ẽ t i
IMPERIOSIDADE	ĩ p e ɾ i o z i d ɐ d i
IMPERMANENTE	ĩ p e ɾ m ɐ n ẽ t i
IMPERMANENTES	ĩ p e ɾ m ɐ n ẽ t i ʃ
IMPERMEABILIDADE	ĩ p e ɾ m e ɐ b i l i d ɐ d i
IMPERMEABILIZANTE	ĩ p e ɾ m e ɐ b i l i z ɐ̃ t i
IMPERMEÁVEL	ĩ p e ɾ m e ɐ v ɛ l
IMPERTINENTE	ĩ p e ɾ t i n ẽ t i
IMPERTINENTES	ĩ p e ɾ t i n ẽ t i ʃ
IMPERTINÊNCIA	ĩ p e ɾ t i n ẽ s i ɐ
IMPERTINÊNCIAS	ĩ p e ɾ t i n ẽ s i ɐ ʃ
IMPERTURBABILIDADE	ĩ p e ɾ t u ɾ b ɐ b i l i d ɐ d i
IMPERTURBÁVEL	ĩ p e ɾ t u ɾ b ɐ v ɛ l
IMPESSOAL	ĩ p e s o ɐ l
IMPESSOALIDADE	ĩ p e s o ɐ l i d ɐ d i
IMPETRANTE	ĩ p e t ɾ ɐ̃ t i
IMPETUOSAMENTE	ĩ p e t w ɔ z ɐ m ẽ t i
IMPETUOSIDADE	ĩ p e t w o z i d ɐ d i
IMPIAMENTE	ĩ p i ɐ m ẽ t i
IMPIEDADE	ĩ p i e d ɐ d i
IMPLACÁVEL	ĩ p l ɐ k ɐ v ɛ l
IMPLANTE	ĩ p l ɐ̃ t i
IMPLANTES	ĩ p l ɐ̃ t i ʃ
IMPLANTODONTIA	ĩ p l ɐ̃ t o d õ t i ɐ
IMPLANTÁVEL	ĩ p l ɐ̃ t ɐ v ɛ l
IMPLAUSÍVEL	ĩ p l ɐ w z i v ɛ l
IMPLEMENTE	ĩ p l i m ẽ t i
IMPLEMENTÁVEL	ĩ p l e m ẽ t ɐ v ɛ l
IMPLICANTE	ĩ p l i k ɐ̃ t i
IMPLICATIVIDADE	ĩ p l i k ɐ t i v i d ɐ d i
IMPLICATIVO	ĩ p l i k ɐ t i v u
IMPLICITAMENTE	ĩ p l i s i t ɐ m ẽ t i
IMPLODE	ĩ p l ɔ d i
IMPLODIDO	ĩ p l o d i d u
IMPLODIMOS	ĩ p l o d i m u ʃ
IMPLODINDO	ĩ p l o d ĩ d u
IMPLODIR	ĩ p l o d i ɾ
IMPLODIU	ĩ p l o d i w
IMPLORA	ĩ p l ɔ ɾ ɐ
IMPLORATIVA	ĩ p l o ɾ ɐ t i v ɐ
IMPONDERABILIDADE	ĩ p õ d e ɾ ɐ b i l i d ɐ d i
IMPONDERÁVEL	ĩ p õ d e ɾ ɐ v ɛ l
IMPONENTE	ĩ p o n ẽ t i
IMPONENTES	ĩ p o n ẽ t i ʃ
IMPONÍVEL	ĩ p o n i v ɛ l
IMPOPULARIDADE	ĩ p o p u l ɐ ɾ i d ɐ d i
IMPORTANTE	ĩ p o ɾ t ɐ̃ t i
IMPORTANTES	ĩ p o ɾ t ɐ̃ t i ʃ
IMPORTANTÍSSIMA	ĩ p o ɾ t ɐ̃ t i s i m ɐ
IMPORTANTÍSSIMAS	ĩ p o ɾ t ɐ̃ t i s i m ɐ ʃ
IMPORTANTÍSSIMO	ĩ p o ɾ t ɐ̃ t i s i m u
IMPORTE	ĩ p ɔ ɾ t i
IMPORTES	ĩ p ɔ ɾ t i ʃ
IMPORTUNIDADE	ĩ p o ɾ t u n i d ɐ d i
IMPOSITIVA	ĩ p o z i t i v ɐ
IMPOSITIVAS	ĩ p o z i t i v ɐ ʃ
IMPOSITIVO	ĩ p o z i t i v u
IMPOSITIVOS	ĩ p o z i t i v u ʃ
IMPOSSIBILIDADE	ĩ p o s i b i l i d ɐ d i
IMPOSSIBILIDADES	ĩ p o s i b i l i d ɐ d i ʃ
IMPOSSIBILITE	ĩ p o s i b i l i t i
IMPOSSÍVEL	ĩ p o s i v ɛ l
IMPOTENTE	ĩ p o t ẽ t i
IMPOTENTES	ĩ p o t ẽ t i ʃ
IMPRATICÁVEL	ĩ p ɾ ɐ t i k ɐ v ɛ l
IMPRESCINDIBILIDADE	ĩ p ɾ e s ĩ d i b i l i d ɐ d i
IMPRESCINDÍVEIS	ĩ p ɾ e s ĩ d i v e j ʃ
IMPRESCINDÍVEL	ĩ p ɾ e s ĩ d i v ɛ l
IMPRESSIONANTE	ĩ p ɾ e s i o n ɐ̃ t i
IMPRESSIONANTEMENTE	ĩ p ɾ e s i o n ɐ̃ t i m ẽ t i
IMPRESSIONANTES	ĩ p ɾ e s i o n ɐ̃ t i ʃ
IMPRESSIONÁVEL	ĩ p ɾ e s i o n ɐ v ɛ l
IMPRETERIVELMENTE	ĩ p ɾ e t e ɾ i v ɛ w m ẽ t i
IMPREVIDENTE	ĩ p ɾ e v i d ẽ t i
IMPREVIDENTES	ĩ p ɾ e v i d ẽ t i ʃ
IMPREVISIBILIDADE	ĩ p ɾ e v i z i b i l i d ɐ d i
IMPREVISÍVEL	ĩ p ɾ e v i z i v ɛ l
IMPROBABILIDADE	ĩ p ɾ o b ɐ b i l i d ɐ d i
IMPROBIDADE	ĩ p ɾ o b i d ɐ d i
IMPROCEDENTE	ĩ p ɾ o s e d ẽ t i
IMPRODUTIVA	ĩ p ɾ o d u t i v ɐ
IMPRODUTIVAS	ĩ p ɾ o d u t i v ɐ ʃ
IMPRODUTIVIDADE	ĩ p ɾ o d u t i v i d ɐ d i
IMPRODUTIVO	ĩ p ɾ o d u t i v u
IMPRODUTIVOS	ĩ p ɾ o d u t i v u ʃ
IMPROFICUAMENTE	ĩ p ɾ o f i k u ɐ m ẽ t i
IMPROFICUIDADE	ĩ p ɾ o f i k w i d ɐ d i
IMPRONUNCIÁVEL	ĩ p ɾ o n ũ s i ɐ v ɛ l
IMPROPRIAMENTE	ĩ p ɾ ɔ p ɾ i ɐ m ẽ t i
IMPROPRIEDADES	ĩ p ɾ o p ɾ i e d ɐ d i ʃ
IMPRORROGÁVEL	ĩ p ɾ o ʁ o ɡ ɐ v ɛ l
IMPROVÁVEL	ĩ p ɾ o v ɐ v ɛ l
IMPRUDENTE	ĩ p ɾ u d ẽ t i
IMPRUDENTEMENTE	ĩ p ɾ u d ẽ t i m ẽ t i
IMPRUDENTES	ĩ p ɾ u d ẽ t i ʃ
IMPUBLICÁVEL	ĩ p u b l i k ɐ v ɛ l
IMPUDENTE	ĩ p u d ẽ t i
IMPUDENTES	ĩ p u d ẽ t i ʃ
IMPUDICA	ĩ p u d i k ɐ
IMPUDICAS	ĩ p u d i k ɐ ʃ
IMPUDICO	ĩ p u d i k u
IMPUDICOS	ĩ p u d i k u ʃ
IMPULSIVAMENTE	ĩ p u w s i v ɐ m ẽ t i
IMPULSIVIDADE	ĩ p u w s i v i d ɐ d i
IMPUNEMENTE	ĩ p u n i m ẽ t i
IMPUNIDADE	ĩ p u n i d ɐ d i
IMPUTABILIDADE	ĩ p u t ɐ b i l i d ɐ d i
IMPUTE	ĩ p u t i
IMPUTES	ĩ p u t i ʃ
IMPUTÁVEL	ĩ p u t ɐ v ɛ l
IMUNDAMENTE	i m ũ d ɐ m ẽ t i
IMUNDICE	i m ũ d i s i
IMUNDICES	i m ũ d i s i ʃ
IMUNDÍCIA	i m ũ d i s i ɐ
IMUNDÍCIAS	i m ũ d i s i ɐ ʃ
IMUNDÍCIE	i m ũ d i s i i
IMUNDÍCIES	i m ũ d i s i i ʃ
IMUNIDADE	i m u n i d ɐ d i
IMUNIDADES	i m u n i d ɐ d i ʃ
IMUNIZANTE	i m u n i z ɐ̃ t i
IMUNOGENICIDADE	i m u n o ʒ e n i s i d ɐ d i
IMUTABILIDADE	i m u t ɐ b i l i d ɐ d i
IMUTÁVEL	i m u t ɐ v ɛ l
IMÓBIL	i m ɔ b i l
IMÓVEL	i m ɔ v ɛ l
INABALÁVEL	i n ɐ b ɐ l ɐ v ɛ l
INABARCÁVEL	i n ɐ b ɐ ɾ k ɐ v ɛ l
INABILIDADE	i n ɐ b i l i d ɐ d i
INABITÁVEL	i n ɐ b i t ɐ v ɛ l
INABORDÁVEL	i n ɐ b o ɾ d ɐ v ɛ l
INACEITÁVEL	i n ɐ s e j t ɐ v ɛ l
INACESSÍVEL	i n ɐ s e s i v ɛ l
INACIOLÂNDIA	i n ɐ s i o l ɐ̃ d i ɐ
INACREDITÁVEIS	i n ɐ k ɾ e d i t ɐ v e j ʃ
INACREDITÁVEL	i n ɐ k ɾ e d i t ɐ v ɛ l
INADAPTÁVEL	i n ɐ d ɐ p i t ɐ v ɛ l
INADIMPLEMENTO	i n ɐ d ĩ p l e m ẽ t u
INADIMPLENTE	i n ɐ d ĩ p l ẽ t i
INADIMPLENTES	i n ɐ d ĩ p l ẽ t i ʃ
INADIMPLÊNCIA	i n ɐ d ĩ p l ẽ s i ɐ
INADIÁVEIS	i n ɐ d i ɐ v e j ʃ
INADIÁVEL	i n ɐ d i ɐ v ɛ l
INADMISSÃO	i n ɐ d i m i s ɐ̃ w
INADMISSÍVEIS	i n ɐ d i m i s i v e j ʃ
INADMISSÍVEL	i n ɐ d i m i s i v ɛ l
INADVERTIDA	i n ɐ d i v e ɾ t i d ɐ
INADVERTIDAMENTE	i n ɐ d i v e ɾ t i d ɐ m ẽ t i
INADVERTÊNCIA	i n ɐ d i v e ɾ t ẽ s i ɐ
INAFETIVO	i n ɐ f e t i v u
INAFIANÇÁVEL	i n ɐ f i ɐ̃ s ɐ v ɛ l
INAFUNDÁVEL	i n ɐ f ũ d ɐ v ɛ l
INALANTE	i n ɐ l ɐ̃ t i
INALCANÇÁVEL	i n ɐ w k ɐ̃ s ɐ v ɛ l
INALIENABILIDADE	i n ɐ l i e n ɐ b i l i d ɐ d i
INALIENÁVEL	i n ɐ l i e n ɐ v ɛ l
INALTERABILIDADE	i n ɐ w t e ɾ ɐ b i l i d ɐ d i
INALTERAVELMENTE	i n ɐ w t e ɾ ɐ v ɛ w m ẽ t i
INALTERÁVEL	i n ɐ w t e ɾ ɐ v ɛ l
INAMOVIBILIDADE	i n ɐ m o v i b i l i d ɐ d i
INAMOVÍVEL	i n ɐ m o v i v ɛ l
INANIDADE	i n ɐ n i d ɐ d i
INAPARENTE	i n ɐ p ɐ ɾ ẽ t i
INAPELAVELMENTE	i n ɐ p e l ɐ v ɛ w m ẽ t i
INAPELÁVEL	i n ɐ p e l ɐ v ɛ l
INAPLICABILIDADE	i n ɐ p l i k ɐ b i l i d ɐ d i
INAPLICÁVEL	i n ɐ p l i k ɐ v ɛ l
INAPRECIÁVEL	i n ɐ p ɾ e s i ɐ v ɛ l
INAPTIDÃO	i n ɐ p i t i d ɐ̃ w
INARREDÁVEL	i n ɐ ʁ e d ɐ v ɛ l
INARTICULADA	i n ɐ ɾ t i k u l ɐ d ɐ
INARTICULADAS	i n ɐ ɾ t i k u l ɐ d ɐ ʃ
INATACÁVEL	i n ɐ t ɐ k ɐ v ɛ l
INATEL	i n ɐ t ɛ l
INATINGÍVEIS	i n ɐ t ĩ ʒ i v e j ʃ
INATINGÍVEL	i n ɐ t ĩ ʒ i v ɛ l
INATISMO	i n ɐ t i z m u
INATIVA	i n ɐ t i v ɐ
INATIVADO	i n ɐ t i v ɐ d u
INATIVAR	i n ɐ t i v ɐ ɾ
INATIVAS	i n ɐ t i v ɐ ʃ
INATIVIDADE	i n ɐ t i v i d ɐ d i
INATIVO	i n ɐ t i v u
INATIVOS	i n ɐ t i v u ʃ
INATURÁVEL	i n ɐ t u ɾ ɐ v ɛ l
INAUDITA	i n ɐ w d i t ɐ
INAUDITAS	i n ɐ w d i t ɐ ʃ
INAUDITO	i n ɐ w d i t u
INAUDITOS	i n ɐ w d i t u ʃ
INAUDÍVEIS	i n ɐ w d i v e j ʃ
INAUDÍVEL	i n ɐ w d i v ɛ l
INAUGURAL	i n ɐ w ɡ u ɾ ɐ l
INCABÍVEL	ĩ k ɐ b i v ɛ l
INCALCULÁVEL	ĩ k ɐ w k u l ɐ v ɛ l
INCANDESCENTE	ĩ k ɐ̃ d e s ẽ t i
INCANDESCENTES	ĩ k ɐ̃ d e s ẽ t i ʃ
INCANSÁVEL	ĩ k ɐ̃ s ɐ v ɛ l
INCAPACIDADE	ĩ k ɐ p ɐ s i d ɐ d i
INCAPACIDADES	ĩ k ɐ p ɐ s i d ɐ d i ʃ
INCAPACITANTE	ĩ k ɐ p ɐ s i t ɐ̃ t i
INCAPACITE	ĩ k ɐ p ɐ s i t i
INCC	i e n i s e s e
INCENDI	ĩ s ẽ d i
INCENDIADA	ĩ s ẽ d i ɐ d ɐ
INCENDIADAS	ĩ s ẽ d i ɐ d ɐ ʃ
INCENDIADO	ĩ s ẽ d i ɐ d u
INCENDIADOS	ĩ s ẽ d i ɐ d u ʃ
INCENDIANDO	ĩ s ẽ d i ɐ̃ d u
INCENDIAR	ĩ s ẽ d i ɐ ɾ
INCENDIARA	ĩ s ẽ d i ɐ ɾ ɐ
INCENDIARAM	ĩ s ẽ d i ɐ ɾ ɐ̃ w
INCENDIAREM	ĩ s ẽ d i ɐ ɾ ẽ
INCENDIARÁ	ĩ s ẽ d i ɐ ɾ ɐ
INCENDIAVA	ĩ s ẽ d i ɐ v ɐ
INCENDIDO	ĩ s ẽ d i d u
INCENDIOU	ĩ s ẽ d i o w
INCENDIÁRIA	ĩ s ẽ d i ɐ ɾ i ɐ
INCENDIÁRIAS	ĩ s ẽ d i ɐ ɾ i ɐ ʃ
INCENDIÁRIO	ĩ s ẽ d i ɐ ɾ i u
INCENDIÁRIOS	ĩ s ẽ d i ɐ ɾ i u ʃ
INCENSURÁVEL	ĩ s ẽ s u ɾ ɐ v ɛ l
INCENTIVA	ĩ s ẽ t i v ɐ
INCENTIVADA	ĩ s ẽ t i v ɐ d ɐ
INCENTIVADAS	ĩ s ẽ t i v ɐ d ɐ ʃ
INCENTIVADO	ĩ s ẽ t i v ɐ d u
INCENTIVADOR	ĩ s ẽ t i v ɐ d o ɾ
INCENTIVADORA	ĩ s ẽ t i v ɐ d o ɾ ɐ
INCENTIVADORAS	ĩ s ẽ t i v ɐ d o ɾ ɐ ʃ
INCENTIVADORES	ĩ s ẽ t i v ɐ d ɔ ɾ i ʃ
INCENTIVADOS	ĩ s ẽ t i v ɐ d u ʃ
INCENTIVAM	ĩ s ẽ t i v ɐ̃ w
INCENTIVAMOS	ĩ s ẽ t i v ɐ m u ʃ
INCENTIVANDO	ĩ s ẽ t i v ɐ̃ d u
INCENTIVAR	ĩ s ẽ t i v ɐ ɾ
INCENTIVARAM	ĩ s ẽ t i v ɐ ɾ ɐ̃ w
INCENTIVAREM	ĩ s ẽ t i v ɐ ɾ ẽ
INCENTIVARIA	ĩ s ẽ t i v ɐ ɾ i ɐ
INCENTIVARMOS	ĩ s ẽ t i v ɐ ɾ m u ʃ
INCENTIVARÁ	ĩ s ẽ t i v ɐ ɾ ɐ
INCENTIVAS	ĩ s ẽ t i v ɐ ʃ
INCENTIVASSE	ĩ s ẽ t i v ɐ s i
INCENTIVASSEM	ĩ s ẽ t i v ɐ s ẽ
INCENTIVAVA	ĩ s ẽ t i v ɐ v ɐ
INCENTIVAVAM	ĩ s ẽ t i v ɐ v ɐ̃ w
INCENTIVAÇÃO	ĩ s ẽ t i v ɐ s ɐ̃ w
INCENTIVE	ĩ s ẽ t i v i
INCENTIVEI	ĩ s ẽ t i v e j
INCENTIVEM	ĩ s ẽ t i v ẽ
INCENTIVO	ĩ s ẽ t i v u
INCENTIVOS	ĩ s ẽ t i v u ʃ
INCENTIVOU	ĩ s ẽ t i v o w
INCENTIVÁ	ĩ s ẽ t i v ɐ
INCERTEZAS	ĩ s e ɾ t e z ɐ ʃ
INCESSANTE	ĩ s e s ɐ̃ t i
INCESSANTEMENTE	ĩ s e s ɐ̃ t i m ẽ t i
INCESSANTES	ĩ s e s ɐ̃ t i ʃ
INCESSÁVEL	ĩ s e s ɐ v ɛ l
INCETIVO	ĩ s e t i v u
INCHADINHA	ĩ ʃ ɐ d i ɲ ɐ
INCHADINHO	ĩ ʃ ɐ d i ɲ u
INCIATIVA	ĩ s i ɐ t i v ɐ
INCIDE	ĩ s i d i
INCIDENTAL	ĩ s i d ẽ t ɐ l
INCIDENTE	ĩ s i d ẽ t i
INCIDENTES	ĩ s i d ẽ t i ʃ
INCIDI	ĩ s i d i
INCIDIAM	ĩ s i d i ɐ̃ w
INCIDIMOS	ĩ s i d i m u ʃ
INCIDINDO	ĩ s i d ĩ d u
INCIDIR	ĩ s i d i ɾ
INCIDIRAM	ĩ s i d i ɾ ɐ̃ w
INCIDIRIA	ĩ s i d i ɾ i ɐ
INCIDIRÁ	ĩ s i d i ɾ ɐ
INCIDIRÃO	ĩ s i d i ɾ ɐ̃ w
INCIDIU	ĩ s i d i w
INCINDINDO	ĩ s ĩ d ĩ d u
INCIPIENTE	ĩ s i p i ẽ t i
INCIPIENTES	ĩ s i p i ẽ t i ʃ
INCISIVAMENTE	ĩ s i z i v ɐ m ẽ t i
INCITANTE	ĩ s i t ɐ̃ t i
INCITE	ĩ s i t i
INCIVIL	ĩ s i v i l
INCIVILIDADE	ĩ s i v i l i d ɐ d i
INCIVILMENTE	ĩ s i v i w m ẽ t i
INCLASSIFICÁVEL	ĩ k l ɐ s i f i k ɐ v ɛ l
INCLEMENTE	ĩ k l i m ẽ t i
INCLEMENTES	ĩ k l e m ẽ t i ʃ
INCLINA-TE	ĩ k l i n ɐ t i
INCLINÁVEL	ĩ k l i n ɐ v ɛ l
INCOERCÍVEL	ĩ k o e ɾ s i v ɛ l
INCOERENTE	ĩ k o e ɾ ẽ t i
INCOERENTEMENTE	ĩ k o e ɾ ẽ t i m ẽ t i
INCOERENTES	ĩ k o e ɾ ẽ t i ʃ
INCOGNOSCÍVEL	ĩ k o ɡ i n o s i v ɛ l
INCOLUMIDADE	ĩ k o l u m i d ɐ d i
INCOMENSURAVELMENTE	ĩ k o m ẽ s u ɾ ɐ v ɛ w m ẽ t i
INCOMENSURÁVEL	ĩ k o m ẽ s u ɾ ɐ v ɛ l
INCOMODAMENTE	ĩ k o m o d ɐ m ẽ t i
INCOMODANTE	ĩ k o m o d ɐ̃ t i
INCOMODATIVO	ĩ k o m o d ɐ t i v u
INCOMODE	ĩ k o m ɔ d i
INCOMODES	ĩ k o m ɔ d i ʃ
INCOMPARÁVEL	ĩ k õ p ɐ ɾ ɐ v ɛ l
INCOMPATIBILIDADE	ĩ k õ p ɐ t i b i l i d ɐ d i
INCOMPATIBILIDADES	ĩ k õ p ɐ t i b i l i d ɐ d i ʃ
INCOMPATIBILIZADO	ĩ k õ p ɐ t i b i l i z ɐ d u
INCOMPATIBILIZAM	ĩ k õ p ɐ t i b i l i z ɐ̃ w
INCOMPATIBILIZAVAM	ĩ k õ p ɐ t i b i l i z ɐ v ɐ̃ w
INCOMPATIBILIZOU	ĩ k õ p ɐ t i b i l i z o w
INCOMPATÍVEIS	ĩ k õ p ɐ t i v e j ʃ
INCOMPATÍVEL	ĩ k õ p ɐ t i v ɛ l
INCOMPETENTE	ĩ k õ p e t ẽ t i
INCOMPETENTES	ĩ k õ p e t ẽ t i ʃ
INCOMPLETAMENTE	ĩ k õ p l e t ɐ m ẽ t i
INCOMPLETUDE	ĩ k õ p l e t u d i
INCOMPORTÁVEL	ĩ k õ p o ɾ t ɐ v ɛ l
INCOMPREENDIDA	ĩ k õ p ɾ e ẽ d i d ɐ
INCOMPREENDIDAS	ĩ k õ p ɾ e ẽ d i d ɐ ʃ
INCOMPREENDIDO	ĩ k õ p ɾ e ẽ d i d u
INCOMPREENDIDOS	ĩ k õ p ɾ e ẽ d i d u ʃ
INCOMPREENSÍVEL	ĩ k õ p ɾ e ẽ s i v ɛ l
INCOMPRESSÍVEL	ĩ k õ p ɾ e s i v ɛ l
INCOMUNICABILIDADE	ĩ k o m u n i k ɐ b i l i d ɐ d i
INCOMUNICÁVEL	ĩ k o m u n i k ɐ v ɛ l
INCONCEBÍVEL	ĩ k õ s e b i v ɛ l
INCONCEPTÍVEL	ĩ k õ s e p i t i v ɛ l
INCONCILIÁVEL	ĩ k õ s i l i ɐ v ɛ l
INCONDICIONADA	ĩ k õ d i s i o n ɐ d ɐ
INCONDICIONADO	ĩ k õ d i s i o n ɐ d u
INCONDICIONAIS	ĩ k õ d i s i o n ɐ j ʃ
INCONDICIONAL	ĩ k õ d i s i o n ɐ l
INCONDICIONALIDADE	ĩ k õ d i s i o n ɐ l i d ɐ d i
INCONDICIONALMENTE	ĩ k õ d i s i o n ɐ w m ẽ t i
INCONFESSÁVEL	ĩ k õ f e s ɐ v ɛ l
INCONFORMIDADE	ĩ k õ f o ɾ m i d ɐ d i
INCONFUNDÍVEIS	ĩ k õ f ũ d i v e j ʃ
INCONFUNDÍVEL	ĩ k õ f ũ d i v ɛ l
INCONGRUENTE	ĩ k õ ɡ ɾ w ẽ t i
INCONGRUENTES	ĩ k õ ɡ ɾ w ẽ t i ʃ
INCONSCIENTE	ĩ k õ s i ẽ t i
INCONSCIENTEMENTE	ĩ k õ s i ẽ t i m ẽ t i
INCONSCIENTES	ĩ k õ s i ẽ t i ʃ
INCONSEQUENTE	ĩ k õ s e k ẽ t i
INCONSEQUENTES	ĩ k õ s e k ẽ t i ʃ
INCONSOLÁVEL	ĩ k õ s o l ɐ v ɛ l
INCONSÚTIL	ĩ k õ s u t i l
INCONTENTÁVEL	ĩ k õ t ẽ t ɐ v ɛ l
INCONTESTE	ĩ k õ t ɛ s tʃ i
INCONTIDA	ĩ k õ t i d ɐ
INCONTIDAS	ĩ k õ t i d ɐ ʃ
INCONTIDO	ĩ k õ t i d u
INCONTIDOS	ĩ k õ t i d u ʃ
INCONTINENTES	ĩ k õ t i n ẽ t i ʃ
INCONTINENTI	ĩ k õ t i n ẽ t i
INCONTINÊNCIA	ĩ k õ t i n ẽ s i ɐ
INCONTINÊNCIAS	ĩ k õ t i n ẽ s i ɐ ʃ
INCONTORNÁVEL	ĩ k õ t o ɾ n ɐ v ɛ l
INCONTROLAVELMENTE	ĩ k õ t ɾ o l ɐ v ɛ w m ẽ t i
INCONTROLÁVEL	ĩ k õ t ɾ o l ɐ v ɛ l
INCONTÁVEL	ĩ k õ t ɐ v ɛ l
INCONVENIENTE	ĩ k õ v e n i ẽ t i
INCONVENIENTEMENTE	ĩ k õ v e n i ẽ t i m ẽ t i
INCONVENIENTES	ĩ k õ v e n i ẽ t i ʃ
INCORPORA	ĩ k o ɾ p ɔ ɾ ɐ
INCORPORAL	ĩ k o ɾ p o ɾ ɐ l
INCORPORAS	ĩ k o ɾ p ɔ ɾ ɐ s
INCORPORÁVEL	ĩ k o ɾ p o ɾ ɐ v ɛ l
INCORRETA	ĩ k o ʁ ɛ t ɐ
INCORRETAMENTE	ĩ k o ʁ ɛ t ɐ m ẽ t i
INCORRETAS	ĩ k o ʁ ɛ t ɐ s
INCORRETO	ĩ k o ʁ ɛ t u
INCORRETOS	ĩ k o ʁ ɛ t u s
INCORRIGÍVEL	ĩ k o ʁ i ʒ i v ɛ l
INCORRUPTIBILIDADE	ĩ k o ʁ u p i t i b i l i d ɐ d i
INCORRUPTÍVEIS	ĩ k o ʁ u p i t i v e j ʃ
INCORRUPTÍVEL	ĩ k o ʁ u p i t i v ɛ l
INCREDIBILIDADE	ĩ k ɾ e d i b i l i d ɐ d i
INCREDULAMENTE	ĩ k ɾ e d u l ɐ m ẽ t i
INCREDULIDADE	ĩ k ɾ e d u l i d ɐ d i
INCREMENTAL	ĩ k ɾ e m ẽ t ɐ l
INCREMENTE	ĩ k ɾ i m ẽ t i
INCRIVELMENTE	ĩ k ɾ i v ɛ w m ẽ t i
INCRÍVEL	ĩ k ɾ i v ɛ l
INCUDE	ĩ k u d i
INCULPABILIDADE	ĩ k u w p ɐ b i l i d ɐ d i
INCUMBENTES	ĩ k ũ b ẽ t i ʃ
INCURABILIDADE	ĩ k u ɾ ɐ b i l i d ɐ d i
INCURÁVEL	ĩ k u ɾ ɐ v ɛ l
INCUTE	ĩ k u t i
INCUTI	ĩ k u t i
INCUTIA	ĩ k u t i ɐ
INCUTIDO	ĩ k u t i d u
INCUTINDO	ĩ k u t ĩ d u
INCUTIR	ĩ k u t i ɾ
INCUTIRA	ĩ k u t i ɾ ɐ
INCUTIRAM	ĩ k u t i ɾ ɐ̃ w
INCUTIREM	ĩ k u t i ɾ ẽ
INCUTISSE	ĩ k u t i s i
INCUTIU	ĩ k u t i w
INCÊNDIO	ĩ s ẽ d i u
INCÊNDIOS	ĩ s ẽ d i u ʃ
INDAGATIVO	ĩ d ɐ ɡ ɐ t i v u
INDAIAL	ĩ d ɐ j ɐ l
INDE	ĩ d i
