ㄱ	k i jʌ k
요원을	jo wʌ n ɯ l
요원의	jo wʌ n e
요원이	jo wʌ n i
요율	jo ju l
요의	jo e
요인	jo i n
요인과	jo i n g wa
요인도	jo i n d o
요인들을	jo i n d ɯ r ɯ l
요인들이	jo i n d ɯ r i
요인에	jo i n e
요인으로	jo i n ɯ r o
요인은	jo i n ɯ n
요인을	jo i n ɯ l
요인이	jo i n i
요일	jo i l
요일에	jo i r e
요일을	jo i r ɯ l
요일이	jo i r i
요자	jo ʣ a
요절	jo ʣ ʌ l
요점	jo ʨʨ ʌ m
요점은	jo ʣ ʌ m ɯ n
요점을	jo ʣ ʌ m ɯ l
요점이	jo ʣ ʌ m i
요점정리	jo ʨʨ ʌ m ʣ ʌ ŋ n i
요정	jo ʣ ʌ ŋ
요정도	jo ʣ ʌ ŋ d o
요정도가	jo ʣ ʌ ŋ d o g a
요정도는	jo ʣ ʌ ŋ d o n ɯ n
요정도로	jo ʣ ʌ ŋ d o r o
요정도만	jo ʣ ʌ ŋ d o m a n
요정도면	jo ʣ ʌ ŋ d o m jʌ n
요정의	jo ʣ ʌ ŋ i
요정이	jo ʣ ʌ ŋ i
요제	jo ʣ e
요제품	jo ʣ e pʰ u m
요조	jo ʣ o
요즘	jo ʣ ɯ m
요즘같은	jo ʣ ɯ m g a tʰ ɯ n
요즘같이	jo ʣ ɯ m g a ʨʰ i
요즘과	jo ʣ ɯ m g wa
요즘도	jo ʣ ɯ m d o
요즘들어	jo ʣ ɯ m d ɯ r ʌ
요즘에	jo ʣ ɯ m e
요즘에는	jo ʣ ɯ m e n ɯ n
요즘에도	jo ʣ ɯ m e d o
요즘엔	jo ʣ ɯ m e n
요즘으로	jo ʣ ɯ m ɯ r o
요즘은	jo ʣ ɯ m ɯ n
요즘을	jo ʣ ɯ m ɯ l
요즘의	jo ʣ ɯ m e
요즘이	jo ʣ ɯ m i
요즘처럼	jo ʣ ɯ m ʨʰ ʌ r ʌ m
요지	jo ʣ i
요지가	jo ʣ i g a
요지는	jo ʣ i n ɯ n
요지를	jo ʣ i r ɯ l
요직을	jo ʣ i g ɯ l
요쪽	jo ʨʨ o k
요철	jo ʨʰ ʌ l
요청	jo ʨʰ ʌ ŋ
요청에	jo ʨʰ ʌ ŋ e
요청으로	jo ʨʰ ʌ ŋ ɯ r o
요청은	jo ʨʰ ʌ ŋ ɯ n
요청을	jo ʨʰ ʌ ŋ ɯ l
요청이	jo ʨʰ ʌ ŋ i
요청하고	jo ʨʰ ʌ ŋ x a g o
요청하는	jo ʨʰ ʌ ŋ x a n ɯ n
요청하면	jo ʨʰ ʌ ŋ x a m jʌ n
요청하신	jo ʨʰ ʌ ŋ x a s i n
요청한	jo ʨʰ ʌ ŋ x a n
요청할	jo ʨʰ ʌ ŋ x a l
요청합니다	jo ʨʰ ʌ ŋ x a m n i d a
요청해	jo ʨʰ ʌ ŋ x ɛ
요청했습니다	jo ʨʰ ʌ ŋ x ɛ t ss ɯ m n i d a
요청했지만	jo ʨʰ ʌ ŋ x ɛ t ʨʨ i m a n
요체	jo ʨʰ e
요추	jo ʨʰ u
요컨대	jo kʰ ʌ n d ɛ
요케	jo kʰ e
요코	jo kʰ o
요코스카	jo kʰ o ss ɯ kʰ a
요크	jo kʰ ɯ
요통	jo tʰ o ŋ
요트	jo tʰ ɯ
요플레	jo pʰ ɯ l l e
요하게	jo x a g e
요하는	jo x a n ɯ n
요한	jo x a n
요한계시록	jo x a n g je s i r o k
요한계시록에	jo x a n g je s i r o g e
요한계시록은	jo x a n g je s i r o g ɯ n
요한계시록을	jo x a n g je s i r o g ɯ l
요한과	jo x a n g wa
요한도	jo x a n d o
요한복음	jo x a n b o g ɯ m
요한복음에	jo x a n b o g ɯ m e
요한복음은	jo x a n b o g ɯ m ɯ n
요한복음을	jo x a n b o g ɯ m ɯ l
요한에게	jo x a n e g e
요한은	jo x a n ɯ n
요한을	jo x a n ɯ l
요한의	jo x a n e
요한이	jo x a n i
요한일서	jo x a n i l s ʌ
요호	jo x o
욕	jo k
욕과	jo k gg wa
욕구	jo k gg u
욕구가	jo k gg u g a
욕구도	jo k gg u d o
욕구를	jo k gg u r ɯ l
욕구에	jo k gg u e
욕구와	jo k gg u wa
욕까지	jo k gg a ʣ i
욕도	jo k dd o
욕되게	jo k dd ø g e
욕만	jo ŋ m a n
욕망	jo ŋ m a ŋ
욕망과	jo ŋ m a ŋ g wa
욕망에	jo ŋ m a ŋ e
욕망으로	jo ŋ m a ŋ ɯ r o
욕망은	jo ŋ m a ŋ ɯ n
욕망을	jo ŋ m a ŋ ɯ l
욕망의	jo ŋ m a ŋ i
욕망이	jo ŋ m a ŋ i
욕먹고	jo ŋ m ʌ k gg o
욕먹을	jo ŋ m ʌ g ɯ l
욕설	jo k ss ʌ l
욕설을	jo k ss ʌ r ɯ l
욕설이	jo k ss ʌ r i
욕실	jo k ss i l
욕실에	jo k ss i r e
욕실은	jo k ss i r ɯ n
욕실을	jo k ss i r ɯ l
욕실이	jo k ss i r i
욕심	jo k ss i m
욕심과	jo k ss i m g wa
욕심내지	jo k ss i m n ɛ ʣ i
욕심대로	jo k ss i m d e r o
욕심도	jo k ss i m d o
욕심만	jo k ss i m m a n
욕심부리지	jo k ss i m b u r i ʣ i
욕심에	jo k ss i m e
욕심으로	jo k ss i m ɯ r o
욕심은	jo k ss i m ɯ n
욕심을	jo k ss i m ɯ l
욕심이	jo k ss i m i
욕심쟁이	jo k ss i m ʣ ɛ ŋ i
욕으로	jo g ɯ r o
욕은	jo g ɯ n
욕을	jo g ɯ l
욕이	jo g i
욕조	jo k ʨʨ o
욕조가	jo k ʨʨ o g a
욕조에	jo k ʨʨ o e
욕하고	jo kʰ a g o
욕하는	jo kʰ a n ɯ n
욕하면	jo kʰ a m jʌ n
욕하면서	jo kʰ a m jʌ n s ʌ
욕하지	jo kʰ a ʣ i
욕한	jo kʰ a n
욕할	jo kʰ a l
욕해	jo kʰ ɛ
욘	jo n
욜	jo l
욜로	jo l l o
욤	jo m
욥	jo p
욥에게	jo b e g e
욥은	jo b ɯ n
욥을	jo b ɯ l
욥의	jo b i
욥이	jo b i
욧	jo t
용	jo ŋ
용감하게	jo ŋ g a m x a g e
용감한	jo ŋ g a m x a n
용건	jo ŋ gg ʌ n
용과	jo ŋ g wa
용광로	jo ŋ g wa ŋ n o
용기	jo ŋ g i
용기가	jo ŋ g i g a
용기는	jo ŋ g i n ɯ n
용기도	jo ŋ g i d o
용기를	jo ŋ g i r ɯ l
용기에	jo ŋ g i e
용기와	jo ŋ g i wa
용기있게	jo ŋ g i i t gg e
용기있는	jo ŋ g i i n n ɯ n
용납	jo ŋ n a p
용납이	jo ŋ n a b i
용납하고	jo ŋ n a pʰ a g o
용납하지	jo ŋ n a pʰ a ʣ i
용납할	jo ŋ n a pʰ a l
용도	jo ŋ d o
용도가	jo ŋ d o g a
용도는	jo ŋ d o n ɯ n
용도로	jo ŋ d o r o
용도를	jo ŋ d o r ɯ l
용도에	jo ŋ d o e
용도의	jo ŋ d o e
용도적	jo ŋ d o ʣ ʌ k
용도지구	jo ŋ d o ʣ i g u
용도지역	jo ŋ d o ʣ i jʌ k
용도지역은	jo ŋ d o ʣ i jʌ g ɯ n
용돈	jo ŋ dd o n
용돈도	jo ŋ d o n d o
용돈을	jo ŋ d o n ɯ l
용들이	jo ŋ d ɯ r i
용띠	jo ŋ dd i
용량	jo ŋ n ja ŋ
용량은	jo ŋ n ja ŋ ɯ n
용량을	jo ŋ n ja ŋ ɯ l
용량의	jo ŋ n ja ŋ e
용량이	jo ŋ n ja ŋ i
용매	jo ŋ m ɛ
용법	jo ŋ bb ʌ p
용법에	jo ŋ bb ʌ b e
용병	jo ŋ b jʌ ŋ
용병이	jo ŋ b jʌ ŋ i
용병이가	jo ŋ b jʌ ŋ i g a
용사	jo ŋ s a
용사가	jo ŋ s a g a
용사의	jo ŋ s a e
용산	jo ŋ s a n
용산에	jo ŋ s a n e
용산점	jo ŋ s a n ʣ ʌ m
용서	jo ŋ s ʌ
용서가	jo ŋ s ʌ g a
용서는	jo ŋ s ʌ n ɯ n
용서를	jo ŋ s ʌ r ɯ l
용서받을	jo ŋ s ʌ b a d ɯ l
용서받지	jo ŋ s ʌ b a t ʨʨ i
용서와	jo ŋ s ʌ wa
용서의	jo ŋ s ʌ e
용서하고	jo ŋ s ʌ x a g o
용서하는	jo ŋ s ʌ x a n ɯ n
용서하시고	jo ŋ s ʌ x a s i g o
용서하여	jo ŋ s ʌ x a jʌ
용서하지	jo ŋ s ʌ x a ʣ i
용서할	jo ŋ s ʌ x a l
용서해	jo ŋ s ʌ x ɛ
용서해야	jo ŋ s ʌ x ɛ ja
용서해주고	jo ŋ s ʌ x ɛ ʣ u g o
용선	jo ŋ s ʌ n
용성	jo ŋ s ʌ ŋ
용수	jo ŋ s u
용신	jo ŋ s i n
용암	jo ŋ a m
용암을	jo ŋ a m ɯ l
용암이	jo ŋ a m i
용액	jo ŋ ɛ k
용액을	jo ŋ ɛ g ɯ l
용액이	jo ŋ ɛ g i
용어	jo ŋ ʌ
용어가	jo ŋ ʌ g a
용어는	jo ŋ ʌ n ɯ n
용어도	jo ŋ ʌ d o
용어들을	jo ŋ ʌ d ɯ r ɯ l
용어들이	jo ŋ ʌ d ɯ r i
용어로	jo ŋ ʌ r o
용어로는	jo ŋ ʌ r o n ɯ n
용어를	jo ŋ ʌ r ɯ l
용어에	jo ŋ ʌ e
용어와	jo ŋ ʌ wa
용어의	jo ŋ ʌ i
용어입니다	jo ŋ ʌ i m n i d a
용언	jo ŋ ʌ n
용에	jo ŋ e
용역	jo ŋ jʌ k
용역을	jo ŋ jʌ g ɯ l
용으로	jo ŋ ɯ r o
용은	jo ŋ ɯ n
용을	jo ŋ ɯ l
용의	jo ŋ i
용의자	jo ŋ i ʣ a
용이	jo ŋ i
용이나	jo ŋ i n a
용이하게	jo ŋ i x a g e
용이하다	jo ŋ i x a d a
용이한	jo ŋ i x a n
용이합니다	jo ŋ i x a m n i d a
용인	jo ŋ i n
용입니다	jo ŋ i m n i d a
용자	jo ŋ ʣ a
용적	jo ŋ ʣ ʌ k
용적률	jo ŋ ʣ ʌ ŋ n ju l
용접	jo ŋ ʣ ʌ p
용접을	jo ŋ ʣ ʌ b ɯ l
용제	jo ŋ ʣ e
용지	jo ŋ ʣ i
용지를	jo ŋ ʣ i r ɯ l
용지에	jo ŋ ʣ i e
용질의	jo ŋ ʣ i r i
용평	jo ŋ pʰ jʌ ŋ
용품	jo ŋ pʰ u m
용품을	jo ŋ pʰ u m ɯ l
용하	jo ŋ x a
용한	jo ŋ x a n
용해	jo ŋ x ɛ
용해성	jo ŋ x ɛ ss ʌ ŋ
우	u
우가	u g a
우거	u g ʌ
우거져	u g ʌ ʣ jʌ
우거지국	u g ʌ ʣ i gg u k
우거진	u g ʌ ʣ i n
우겨	u g jʌ
우결	u g jʌ l
우고	u g o
우기	u g i
우기가	u g i g a
우기고	u g i g o
우기는	u g i n ɯ n
우나	u n a
우냐	u n ja
우노	u n o
우뇌	u n ø
우뇌의	u n ø i
우는	u n ɯ n
우니까	u n i gg a
우당탕탕	u d a ŋ tʰ a ŋ tʰ a ŋ
우대	u d ɛ
우도	u d o
우동	u d o ŋ
우동집	u d o ŋ ʨʨ i p
우두	u d u
우두머리	u d u m ʌ r i
우드	u d ɯ
우드를	u d ɯ r ɯ l
우듬지	u d ɯ m ʨʨ i
우디	u d i
우뚝	u dd u k
우뚝우뚝	u dd u k u dd u k
우라	u r a
우라지게	u r a ʣ i g e
우량	u r ja ŋ
우량한	u r ja ŋ x a n
우러나오는	u r ʌ n a o n ɯ n
우러러	u r ʌ r ʌ
우럭	u r ʌ k
우렁	u r ʌ ŋ
우레	u r e
우레탄	u r e tʰ a n
우려	u r jʌ
우려가	u r jʌ g a
우려감이	u r jʌ g a m i
우려는	u r jʌ n ɯ n
우려도	u r jʌ d o
우려되는	u r jʌ d ø n ɯ n
우려로	u r jʌ r o
우려를	u r jʌ r ɯ l
우려스러운	u r jʌ s ɯ r ʌ u n
우려에	u r jʌ e
우려와	u r jʌ wa
우려의	u r jʌ i
우려하고	u r jʌ x a g o
우려하는	u r jʌ x a n ɯ n
우려한	u r jʌ x a n
우려해	u r jʌ x e
우로	u r o
우루	u r u
우루루	u r u r u
우르	u r ɯ
우르르	u r ɯ r ɯ
우를	u r ɯ l
우리	u r i
우리가	u r i g a
우리가요	u r i g a jo
우리가이	u r i g a i
우리가족	u r i g a ʣ o k
우리같은	u r i g a tʰ ɯ n
우리게	u r i g e
우리고	u r i g o
우리교회	u r i g jo x ø
우리구	u r i g u
우리기	u r i g i
우리까지	u r i gg a ʣ i
우리끼리	u r i gg i r i
우리나	u r i n a
우리나라	u r i n a r a
우리나라가	u r i n a r a g a
우리나라는	u r i n a r a n ɯ n
우리나라도	u r i n a r a d o
우리나라로	u r i n a r a r o
우리나라를	u r i n a r a r ɯ l
우리나라만	u r i n a r a m a n
우리나라에	u r i n a r a e
우리나라에는	u r i n a r a e n ɯ n
우리나라에도	u r i n a r a e d o
우리나라에서	u r i n a r a e s ʌ
우리나라에서는	u r i n a r a e s ʌ n ɯ n
우리나라에서도	u r i n a r a e s ʌ d o
우리나라와	u r i n a r a wa
우리나라의	u r i n a r a i
우리나라처럼	u r i n a r a ʨʰ ʌ r ʌ m
우리내	u r i n e
우리네	u r i n e
우리는	u r i n ɯ n
우리는요	u r i n ɯ n jo
우리는이	u r i n ɯ n i
우리다	u r i d a
우리도	u r i d o
우리동네	u r i d o ŋ n e
우리들	u r i d ɯ l
우리들도	u r i d ɯ l d o
우리들에게	u r i d ɯ r e g e
우리들에게는	u r i d ɯ r e g e n ɯ n
우리들은	u r i d ɯ r ɯ n
우리들을	u r i d ɯ r ɯ l
우리들의	u r i d ɯ r e
우리들이	u r i d ɯ r i
우리딸	u r i dd a l
우리라고	u r i r a g o
우리라는	u r i r a n ɯ n
우리랑	u r i r a ŋ
우리로	u r i r o
우리를	u r i r ɯ l
우리만	u r i m a n
우리만의	u r i m a n i
우리만이	u r i m a n i
우리말	u r i m a l
우리말로	u r i m a l l o
우리말로는	u r i m a l l o n ɯ n
우리말의	u r i m a r i
우리말이	u r i m a r i
우리면	u r i m jʌ n
우리반	u r i b a n
우리보다	u r i b o d a
우리시	u r i s i
우리식구	u r i s i k gg u
우리식으로	u r i s i g ɯ r o
우리아	u r i a
우리아들	u r i a d ɯ l
우리아이	u r i a i
우리야	u r i ja
우리에	u r i e
우리에게	u r i e g e
우리에게는	u r i e g e n ɯ n
우리에게도	u r i e g e d o
우리에게서	u r i e g e s ʌ
우리에겐	u r i e g e n
우리에서	u r i e s ʌ
우리와	u r i wa
우리우리	u r i u r i
우리의	u r i i
우리이	u r i i
우리조	u r i ʣ o
우리집	u r i ʣ i p
우리집에	u r i ʣ i b e
우리처럼	u r i ʨʰ ʌ r ʌ m
우리팀	u r i tʰ i m
우리하고	u r i x a g o
우리학교	u r i x a k gg jo
우리한테	u r i x a n tʰ e
우리한테는	u r i x a n tʰ e n ɯ n
우리회사	u r i x ø s a
우린	u r i n
우릴	u r i l
우림	u r i m
우림이	u r i m i
우마	u m a
우만	u m a n
우매한	u m ɛ x a n
우먼	u m ʌ n
우메	u m e
우무	u m u
우물	u m u l
우물에	u m u r e
우물을	u m u r ɯ l
우물이	u m u r i
우물질	u m u l ʣ i l
우미	u m i
우민	u m i n
우바	u b a
우박	u b a k
우박이	u b a g i
우발적	u b a l ʨʨ ʌ k
우발적인	u b a l ʣ ʌ g i n
우방	u b a ŋ
우버	u b ʌ
우병우	u b jʌ ŋ u
우보	u b o
우분투	u b u n tʰ u
우비	u b i
우사	u s a
우산	u s a n
우산은	u s a n ɯ n
우산을	u s a n ɯ l
우산이	u s a n i
우상	u s a ŋ
우상과	u s a ŋ g wa
우상들을	u s a ŋ d ɯ r ɯ l
우상숭배	u s a ŋ s u ŋ b ɛ
우상숭배를	u s a ŋ s u ŋ b e r ɯ l
우상숭배에	u s a ŋ s u ŋ b e e
우상숭배와	u s a ŋ s u ŋ b e wa
우상에게	u s a ŋ e g e
우상으로	u s a ŋ ɯ r o
우상은	u s a ŋ ɯ n
우상을	u s a ŋ ɯ l
우상의	u s a ŋ i
우상이	u s a ŋ i
우상향	u s a ŋ x ja ŋ
우상향을	u s a ŋ x ja ŋ ɯ l
우상화	u s a ŋ x wa
우생학은	u s e ŋ x a g ɯ n
우석	u s ʌ k
우선	u s ʌ n
우선순위	u s ʌ n s u n wi
우선순위가	u s ʌ n s u n wi g a
우선순위를	u s ʌ n s u n wi r ɯ l
우선순위에	u s ʌ n s u n wi e
우선시	u s ʌ n s i
우선으로	u s ʌ n ɯ r o
우선은	u s ʌ n ɯ n
우선이	u s ʌ n i
우선이다	u s ʌ n i d a
우선입니다	u s ʌ n i m n i d a
우선적으로	u s ʌ n ʣ ʌ g ɯ r o
우선주	u s ʌ n ʣ u
우선주의	u s ʌ n ʣ u e
우설	u s ʌ l
우성	u s ʌ ŋ
우세	u s e
우세요	u s e jo
우세했다고	u s e x e t dd a g o
우셨어요	u s jʌ ss ʌ jo
우소	u s o
우송	u s o ŋ
우수	u s u
우수가	u s u g a
우수성	u s u ss ʌ ŋ
우수성과	u s u ss ʌ ŋ g wa
우수하고	u s u x a g o
우수한	u s u x a n
우수합니다	u s u x a m n i d a
우스	u ss ɯ
우스개	u s ɯ g ɛ
우스개소리	u s ɯ g ɛ s o r i
우스갯소리	u s ɯ g ɛ t ss o r i
우스갯소리로	u s ɯ g e t ss o r i r o
우스꽝	u ss ɯ gg wa ŋ
우스운	u s ɯ u n
우스터	u ss ɯ tʰ ʌ
우습게	u s ɯ p gg e
우승	u s ɯ ŋ
우승을	u s ɯ ŋ ɯ l
우시	u s i
우시고	u s i g o
우신	u s i n
우씨	u ss i
우아	u a
우아아	u a a
우아아아	u a a a
우아하게	u a x a g e
우아하고	u a x a g o
우아한	u a x a n
우앙	u a ŋ
우야	u ja
우어	u ʌ
우엉	u ʌ ŋ
우에	u e
우여	u jʌ
우여곡절	u jʌ g o k ʨʨ ʌ l
우여곡절을	u jʌ g o k ʨ ʌ r ɯ l
우여곡절이	u jʌ g o k ʨʨ ʌ r i
우연	u jʌ n
우연성	u jʌ n ss ʌ ŋ
우연을	u jʌ n ɯ l
우연의	u jʌ n i
우연이	u jʌ n i
우연찮게	u jʌ n ʨʰ a n kʰ e
우연치	u jʌ n ʨʰ i
우연하게	u jʌ n x a g e
우연한	u jʌ n x a n
우연히	u jʌ n x i
우영	u jʌ ŋ
우영우는	u jʌ ŋ u n ɯ n
우영우를	u jʌ ŋ u r ɯ l
우영우의	u jʌ ŋ u i
우와	u wa
우왕	u wa ŋ
우우	u u
우울	u u l
우울병	u u l bb jʌ ŋ
우울증	u u l ʨʨ ɯ ŋ
우울증도	u u l ʣ ɯ ŋ d o
우울증에	u u l ʣ ɯ ŋ e
우울증을	u u l ʣ ɯ ŋ ɯ l
우울증이	u u l ʣ ɯ ŋ i
우울하게	u u l x a g e
우울하고	u u l x a g o
우울하다	u u l x a d a
우울한	u u l x a n
우울할	u u l x a l
우울해	u u l x ɛ
우울해요	u u l x ɛ jo
우워	u wʌ
우원	u wʌ n
우월	u wʌ l
우월감을	u wʌ l g a m ɯ l
우월성	u wʌ l ss ʌ ŋ
우월한	u wʌ r x a n
우위	u wi
우위를	u wi r ɯ l
우위에	u wi e
우유	u ju
우유가	u ju g a
우유는	u ju n ɯ n
우유도	u ju d o
우유로	u ju r o
우유를	u ju r ɯ l
우유빛	u ju bb i t
우유에	u ju e
우유와	u ju wa
우의	u i
우익	u i k
우자	u ʣ a
우전	u ʣ ʌ n
우정	u ʣ ʌ ŋ
우정도	u ʣ ʌ ŋ d o
우정을	u ʣ ʌ ŋ ɯ l
우정의	u ʣ ʌ ŋ i
우정이	u ʣ ʌ ŋ i
우제	u ʣ e
우조	u ʣ o
우주	u ʣ u
우주가	u ʣ u g a
우주는	u ʣ u n ɯ n
우주도	u ʣ u d o
우주로	u ʣ u r o
우주를	u ʣ u r ɯ l
우주보다	u ʣ u b o d a
우주선	u ʣ u s ʌ n
우주선을	u ʣ u s ʌ n ɯ l
우주에	u ʣ u e
우주에는	u ʣ u e n ɯ n
우주에서	u ʣ u e s ʌ
우주와	u ʣ u wa
우주의	u ʣ u i
우주인	u ʣ u i n
우주적	u ʣ u ʣ ʌ k
우주적인	u ʣ u ʣ ʌ g i n
우줄우줄	u ʣ u l u ʣ u l
우중	u ʣ u ŋ
우즈	u ʣ ɯ
우즈베키스탄	u ʣ ɯ b e kʰ i s ɯ tʰ a n
우지	u ʣ i
우직한	u ʣ i kʰ a n
우진	u ʣ i n
우진은	u ʣ i n ɯ n
우쭈쭈	u ʨʨ u ʨʨ u
우쭐	u ʨʨ u l
우쭐우쭐	u ʨʨ u l u ʨʨ u l
우체국	u ʨʰ e g u k
우측	u ʨʰ ɯ k
우측에	u ʨʰ ɯ g e
우측에서	u ʨʰ ɯ g e s ʌ
우측으로	u ʨʰ ɯ g ɯ r o
우측은	u ʨʰ ɯ g ɯ n
우측을	u ʨʰ ɯ g ɯ l
우측의	u ʨʰ ɯ g i
우측이	u ʨʰ ɯ g i
우치	u ʨʰ i
우크라이나	u kʰ ɯ r a i n a
우크라이나가	u kʰ ɯ r a i n a g a
우크라이나의	u kʰ ɯ r a i n a e
우클릭	u kʰ ɯ l l i k
우클릭을	u kʰ ɯ l l i g ɯ l
우타	u tʰ a
우파	u pʰ a
우퍼	u pʰ ʌ
우편	u pʰ jʌ n
우편에	u pʰ jʌ n e
우편에서	u pʰ jʌ n e s ʌ
우편으로	u pʰ jʌ n ɯ r o
우표	u pʰ jo
우화	u x wa
우회	u x ø
우회적으로	u x we ʣ ʌ g ɯ r o
우회전	u x ø ʣ ʌ n
욱	u k
욱신욱신	u k ss i n u k s i n
욱하는	u kʰ a n ɯ n
운	u n
운과	u n g wa
운기	u n g i
운길산역	u n g i l ss a n n jʌ k
운다	u n d a
운데	u n d e
운도	u n d o
운동	u n d o ŋ
운동과	u n d o ŋ g wa
운동권	u n d o ŋ gg wʌ n
운동도	u n d o ŋ d o
운동들을	u n d o ŋ d ɯ r ɯ l
운동량	u n d o ŋ n ja ŋ
운동량이	u n d o ŋ n ja ŋ i
운동만	u n d o ŋ m a n
운동법	u n d o ŋ bb ʌ p
운동선수	u n d o ŋ s ʌ n s u
운동성을	u n d o ŋ s ʌ ŋ ɯ l
운동에	u n d o ŋ e
운동에서	u n d o ŋ e s ʌ
운동으로	u n d o ŋ ɯ r o
운동은	u n d o ŋ ɯ n
운동을	u n d o ŋ ɯ l
운동의	u n d o ŋ e
운동이	u n d o ŋ i
운동이나	u n d o ŋ i n a
운동이다	u n d o ŋ i d a
운동이라	u n d o ŋ i r a
운동이라고	u n d o ŋ i r a g o
운동이에요	u n d o ŋ i e jo
운동입니다	u n d o ŋ i m n i d a
운동장	u n d o ŋ ʣ a ŋ
운동장에서	u n d o ŋ ʣ a ŋ e s ʌ
운동장이	u n d o ŋ ʣ a ŋ i
운동하고	u n d o ŋ x a g o
운동하기	u n d o ŋ x a g i
운동하는	u n d o ŋ x a n ɯ n
운동하러	u n d o ŋ x a r ʌ
운동하면	u n d o ŋ x a m jʌ n
운동하면서	u n d o ŋ x a m jʌ n s ʌ
운동하시는	u n d o ŋ x a s i n ɯ n
운동할	u n d o ŋ x a l
운동해서	u n d o ŋ x ɛ s ʌ
운동해야	u n d o ŋ x ɛ ja
운동화	u n d o ŋ x wa
운동화를	u n d o ŋ x wa r ɯ l
운로드	u l l o d ɯ
운명	u n m jʌ ŋ
운명과	u n m jʌ ŋ g wa
운명에	u n m jʌ ŋ e
운명은	u n m jʌ ŋ ɯ n
운명을	u n m jʌ ŋ ɯ l
운명의	u n m jʌ ŋ i
운명이	u n m jʌ ŋ i
운명이라는	u n m jʌ ŋ i r a n ɯ n
운명적으로	u n m jʌ ŋ ʣ ʌ g ɯ r o
운명적인	u n m jʌ ŋ ʣ ʌ g i n
운반	u n b a n
운반하는	u n b a n x a n ɯ n
운석	u n s ʌ k
운세	u n s e
운세가	u n s e g a
운세를	u n s e r ɯ l
운송	u n s o ŋ
운송물의	u n s o ŋ m u r i
운송을	u n s o ŋ ɯ l
운송이	u n s o ŋ i
운송했습니다	u n s o ŋ x e t ss ɯ m n i d a
운수	u n s u
운에	u n e
운에서	u n e s ʌ
운영	u n jʌ ŋ
운영과	u n jʌ ŋ g wa
운영도	u n jʌ ŋ d o
운영되고	u n jʌ ŋ d ø g o
운영되는	u n jʌ ŋ d ø n ɯ n
운영됩니다	u n jʌ ŋ d ø m n i d a
운영에	u n jʌ ŋ e
운영은	u n jʌ ŋ ɯ n
운영을	u n jʌ ŋ ɯ l
운영의	u n jʌ ŋ e
운영이	u n jʌ ŋ i
운영자	u n jʌ ŋ ʣ a
운영자가	u n jʌ ŋ ʣ a g a
운영체제	u n jʌ ŋ ʨʰ e ʣ e
운영체제가	u n jʌ ŋ ʨʰ e ʣ e g a
운영체제를	u n jʌ ŋ ʨʰ e ʣ e r ɯ l
운영하게	u n jʌ ŋ x a g e
운영하고	u n jʌ ŋ x a g o
운영하기	u n jʌ ŋ x a g i
운영하는	u n jʌ ŋ x a n ɯ n
운영하는데	u n jʌ ŋ x a n ɯ n d e
운영하는데에	u n jʌ ŋ x a n ɯ n d e e
운영하다	u n jʌ ŋ x a d a
운영하던	u n jʌ ŋ x a d ʌ n
운영하며	u n jʌ ŋ x a m jʌ
운영하면서	u n jʌ ŋ x a m jʌ n s ʌ
운영하시는	u n jʌ ŋ x a s i n ɯ n
운영한	u n jʌ ŋ x a n
운영할	u n jʌ ŋ x a l
운영합니다	u n jʌ ŋ x a m n i d a
운영해	u n jʌ ŋ x ɛ
운영해야	u n jʌ ŋ x e ja
운영했던	u n jʌ ŋ x e t dd ʌ n
운용	u n jo ŋ
운용을	u n jo ŋ ɯ l
운용하는	u n jo ŋ x a n ɯ n
운용할	u n jo ŋ x a l
운으로	u n ɯ r o
운을	u n ɯ l
운의	u n e
운이	u n i
운임	u n i m
운전	u n ʣ ʌ n
운전면허	u n ʣ ʌ n m jʌ n x ʌ
운전면허증을	u n ʣ ʌ n m jʌ n x ʌ ʣ ɯ ŋ ɯ l
운전병	u n ʣ ʌ n b jʌ ŋ
운전석	u n ʣ ʌ n s ʌ k
운전에	u n ʣ ʌ n e
운전은	u n ʣ ʌ n ɯ n
운전을	u n ʣ ʌ n ɯ l
운전이	u n ʣ ʌ n i
운전자	u n ʣ ʌ n ʣ a
운전자가	u n ʣ ʌ n ʣ a g a
운전자는	u n ʣ ʌ n ʣ a n ɯ n
운전자의	u n ʣ ʌ n ʣ a i
운전하게	u n ʣ ʌ n x a g e
운전하고	u n ʣ ʌ n x a g o
운전하는	u n ʣ ʌ n x a n ɯ n
운전하다가	u n ʣ ʌ n x a d a g a
운전할	u n ʣ ʌ n x a l
운전해서	u n ʣ ʌ n x ɛ s ʌ
운정	u n ʣ ʌ ŋ
운제	u n ʣ e
운좋게	u n ʣ o kʰ e
운치	u n ʨʰ i
운하	u n x a
운항	u n x a ŋ
운해	u n x ɛ
운행	u n x ɛ ŋ
운행을	u n x ɛ ŋ ɯ l
운행이	u n x ɛ ŋ i
운행하는	u n x ɛ ŋ x a n ɯ n
운향	u n x ja ŋ
울	u l
울것	u l g ʌ t
울게	u l g e
울고	u l g o
울고불고	u l g o b u l g o
울긋불긋	u l g ɯ t b u l g ɯ t
울기	u l g i
울기도	u l g i d o
울까	u l gg a
울다	u l d a
울다가	u l d a g a
울대	u l dd ɛ
울돌목	u l dd o l m o k
울라	u l l a
울러	u l l ʌ
울려	u l l jʌ
울려고	u l l jʌ g o
울로	u l l o
