AAI	a a i
LAPSUS	l a p s y s
LARSEN	l a ʁ s ɛ n
LASER	l a z ɛ ʁ
LASERS	l a z ɛ ʁ
LASNE	l a n
LATENT	l a t ã
LAUDUN	l ɔ d ɛ̃
LAUNCH	l o n ʃ
LAUREA	l ɔ ʁ e a
LAUREEN	l ɔ ʁ i n
LAURELINE	l ɔ ʁ œ l i n
LAURENT	l ɔ ʁ ã
LAURENTIENNE	l ɔ ʁ ã t j ɛ n
LAURYN	l ɔ ʁ i n
LAW	l a ɔ
LAYE	l ɛ
LAÂYOUNE	l a ɛ j u n
LAËTITIA	l a e t i t j a
LAÏUS	l a j y s
LCA	ɛ l s e a
LCI	l s i
LDAP	ɛ l d e a p e
LE	l œ
LEADER	l i d œ ʁ
LEADERS	l i d œ ʁ
LECCIA	l e k s j a
LECLERC	l œ k l ɛ ʁ
LECLERCQ	l œ k l ɛ ʁ
LEEUWARDEN	l j y w a ʁ d ã
LEFEVRE	l œ f ɛ v ʁ
LEGER	l e ʒ e
LEGS	l ɛ g
LEILA	l ɛ i l a
LEMAITRE	l œ m ɛ t ʁ
LEMBERG	l e m b ɛ ʁ g
LEMPDES	l ã d
LENS	l ã s
LEON	l e õ
LES	l e
LESDITES	l e d i t
LESDITS	l e d i
LESQUELLES	l e k ɛ l
LESQUELS	l e k ɛ l
LESQUIN	l e k ɛ̃
LETITIA	l e t i s j a
LETTONIE	l ɛ t ɔ n i
LETTONIEN	l ɛ t ɔ n j ɛ̃
LEUDEVILLE	l œ d œ v i l
LEUVEN	l œ v ɛ n
LEVERS	l œ v e
LEXIS	l ɛ k s i s
LGBTQ	ɛ l ʒ e b e t e k y
LGBTQIA	l g b t k j a
LIAS	l j a s
LICHEN	l i k ɛ n
LICHENS	l i k ɛ n
LIECHTENSTEIN	l i ʃ t œ n ʃ t a j n
LIKOUD	l i k u d
LILLE	l i l
LILLIPUTIEN	l i l i p y t j ɛ̃
LILLIPUTIENS	l i l i p y t j ɛ̃
LILLOIS	l i l w a
LILLOISE	l i l w a z
LILLOISES	l i l w a z
LIMERSHEIM	l i m ɛ ʁ ʃ ɛ̃
LIMITIONS	l i m i t j õ
LIMONEST	l i m ɔ n ɛ
LINDSAY	l i n s e
LINGOLSHEIM	l i ŋ ɔ l s ɛ m
LIS	l i s
LISP	l i s
LISZT	l i s z
LITHOTHAMNE	l i t ɔ t a m n
LIZ	l i z
LOCKHEED	l ɔ k i d
LOCMARIAQUER	l ɔ k m a ʁ j a k ɛ ʁ
LOCUS	l ɔ k y s
LODEN	l ɔ d ɛ n
LOGNORMALE	l ɔ g n ɔ ʁ m a l
LONDINIÈRES	l õ d i ɲ ɛ ʁ
LONGUEVILLE	l õ g œ v i l
LONGUYON	l õ g j õ
LONS	l õ s
LORENZO	l ɔ ʁ e n z o
LORRIS	l ɔ ʁ i s
LORSQUE	l ɔ ʁ s k ə
LOS	l ɔ s
LOTIONS	l ɔ s j õ
LOTUS	l ɔ t y s
LOÏS	l ɔ i s
LPO	ɛ l p e o
LSE	l s ø
LTO	ɛ l t e o
LTTE	l t ø
LUANT	l y ã
LUCCIANA	l u t ʃ i j a n a
LUCENAY	l y s œ n ɛ
LUCIFER	l y s i f ɛ ʁ
LUCILLE	l y s i l
LUCQUY	l y k y
LUKAS	l y k a s
LUN	l œ̃ d i
LUPUS	l y p y s
LYCAON	l y k a õ
LYCAONS	l y k a õ
LYNDA	l i n d a
LYS	l i s
LÉANDRE	l e ã d ʁ
LÉGITIMENT	l e ʒ i t i m
M	ɛ m
M'	m œ
MACH	m a k
MACHECOUL	m a ʃ œ k u
MACHO	m a t ʃ o
MACHOS	m a t ʃ o
MACINTOSH	m a k i n t ɔ ʃ
MADRAS	m a d ʁ a s
MADRID	m a d ʁ i d
MAELYS	m a e l i s
MAGALAS	m a g a l a s
MAGENTA	m a ʒ ɛ̃ t a
MAGISTER	m a ʒ i s t ɛ ʁ
MAGUY	m a g y
MAHOMET	m a ɔ m ɛ t
MAIER	m ɛ ʁ
MAIL	m ɛ j l
MAILING	m ɛ j l i ŋ
MAINTIENDRAIENT	m ɛ̃ t j ɛ̃ d ʁ ɛ
MAINTIENDRAIT	m ɛ̃ t j ɛ̃ d ʁ ɛ
MAINTIENDRAS	m ɛ̃ t j ɛ̃ d ʁ a
MAINTIENDRIEZ	m ɛ̃ t j ɛ̃ d ʁ i j e
MAINTIENT	m ɛ̃ t j ɛ̃
MAJORDOME	m a ʒ ɔ ʁ d ɔ m
MAJORDOMES	m a ʒ ɔ ʁ d ɔ m
MALUS	m a l y s
MAM'ZELLE	m ã z ɛ l
MAMERS	m a m ɛ ʁ s
MAMETZ	m a m e
MAN	m a n
MANAGER	m a n a d ʒ ɛ ʁ
MANAGERS	m a n a d ʒ ɛ ʁ
MANDCHOUKOUO	m ã d ʃ u k u o
MANDELA	m ã d e l a
MANDRILL	m ã d ʁ i l
MANDRILLS	m ã d ʁ i l
MANICHÉEN	m a n i k e ɛ̃
MANICHÉENNE	m a n i k e ɛ n
MANICHÉENNES	m a n i k e ɛ n
MANICHÉENS	m a n i k e ɛ̃
MANKIEWICZ	m ã k j œ w i k
MAR	m a ʁ d i
MARC	m a ʁ
MARCELLINE	m a ʁ s œ l i n
MARCKOLSHEIM	m a ʁ k ɔ l s a j m
MARCS	m a ʁ
MARCUS	m a ʁ k y s
MARENGO	m a ʁ ɛ̃ g o
MARILYN	m a ʁ i l i n
MARKETING	m a ʁ k ɛ t i ŋ
MARLBOROUGH	m a ʁ l b o ʁ o
MARLENHEIM	m a ʁ l œ n a j m
MARLOWE	m a ʁ l ɔ
MARS	m a ʁ s
MARTIEN	m a ʁ s j ɛ̃
MARTIENNE	m a ʁ s j ɛ n
MARTIENNES	m a ʁ s j ɛ n
MARTIENS	m a ʁ s j ɛ̃
MARTINS	m a ʁ t i n s
MAT	m a t
MATHIAS	m a t j a s
MATHYS	m a t i s
MATS	m a t
MATTIS	m a t i s
MAUD	m o d
MAXILLAIRE	m a k s i l ɛ ʁ
MAXILLAIRES	m a k s i l ɛ ʁ
MAY	m e
MAYLIS	m a i l i s
MAËLYS	m a e l i s
MAÏLYS	m a i l i s
MAÏS	m a i s
MBEKI	m b œ k i
MCC	ɛ m s e s e
MCCC	ɛ m s e s e s e
MCCOY	m k w a
MCDO	m k d o
MCE	m i l s ã t j ɛ m
MCGEE	m k ʒ ø
MCI	m s i
MCO	m k o
MD	m i l j a ʁ
MDS	m i l j a ʁ
ME	m œ
MEDIA	m e d j a
MEGAN	m e g a n
MEGHALAYA	m ɛ g a l ɛ j a
MEIX	m ɛ
MELAY	m e l ɛ
MELET	m œ l ɛ
MELGVEN	m e l v ɛ̃
MELIS	m e l i s
MELKITE	m ɛ l k i t
MELVYN	m e l v i n
MEN	m ɛ n
MENHIR	m e n i ʁ
MENHIRS	m e n i ʁ
MENS	m ã
MENTIONS	m ã s j õ
MERCEDES	m ɛ ʁ s ɛ d ɛ s
MERCKX	m ɛ ʁ k k s
MERCÉDÈS	m e ʁ s e d ɛ s
MERGUEZ	m ɛ ʁ g e z
MERIEM	m e ʁ j ɛ m
MERRY	m e ʁ i
MERTEN	m e ʁ t ɛ n
MES	m e
MESDAMES	m e d a m
MESDEMOISELLES	m e d m w a z ɛ l
MESQUER	m e s k ɛ ʁ
MESSEI	m e s e
MESSIEURS	m e s j ø
METCHNIKOFF	m ɛ t ʃ n i k ɔ f
METROPOLITAN	m e t ʁ ɔ p ɔ l i t a n
MEURICE	m œ ʁ i s
MEYNIER	m e ɲ e
MGI	ɛ m ʒ e i
MHZ	ɛ m a ʃ z ɛ d
MICHAEL	m i k a ɛ l
MICROBUS	m i k ʁ ɔ b y s
MICROELECTRONICS	m i k ʁ w a l ɛ k t ʁ ɔ n i k
MICROSOFT	m i k ʁ ɔ s ɔ f t
MIETESHEIM	m i t ɛ ʃ ɛ̃
MIEUXCÉ	m j œ k s e
MIKHAÏL	m i k a l
MILDT	m i l d
MILES	m a j l s
MILL	m i j
MILLAGE	m i l a ʒ
MILLEFEUILLE	m i l f œ l
MILLEPERTUIS	m i l p ɛ ʁ t ɥ i
MILLERANDAGE	m i l ʁ ã d a ʒ
MILLIAIRE	m i l j ɛ ʁ
MILLIAMPÈRES	m i l j ã p ɛ ʁ
MILLIARD	m i l j a ʁ
MILLIARDAIRE	m i l j a ʁ d ɛ ʁ
MILLIARDAIRES	m i l j a ʁ d ɛ ʁ
MILLIARDIÈME	m i l j a ʁ d j ɛ m
MILLIARDIÈMES	m i l j a ʁ d j ɛ m
MILLIARDS	m i l j a ʁ
MILLIER	m i l j e
MILLIERS	m i l j e
MILLIGRAMMES	m i l i g ʁ a m
MILLILITRE	m i l i l i t ʁ ə
MILLILITRES	m i l i l i t ʁ ə
MILLIMÈTRE	m i l i m ɛ t ʁ ə
MILLIMÈTRES	m i l i m ɛ t ʁ ə
MILLIMÉTRIQUE	m i l i m e t ʁ i k
MILLIMÉTRIQUES	m i l i m e t ʁ i k
MILLIMÉTRÉ	m i l i m e t ʁ e
MILLIMÉTRÉE	m i l i m e t ʁ e
MILLIMÉTRÉS	m i l i m e t ʁ e
MILLION	m i l j õ
MILLIONIÈME	m i l j ɔ n j ɛ m
MILLIONNAIRE	m i l j ɔ n ɛ ʁ
MILLIONNAIRES	m i l j ɔ n ɛ ʁ
MILLIONS	m i l j õ
MILLIVOLT	m i l i v ɔ l t
MILLIÈME	m i l j ɛ m
MILLIÈMES	m i l j ɛ m
MILLS	m i j
MILLÉNARISME	m i l e n a ʁ i s m ə
MILLÉNARISTE	m i l e n a ʁ i s t
MILLÉNARISTES	m i l e n a ʁ i s t
MILLÉNIUM	m i l e n j ɔ m
MILLÉSIME	m i l e z i m
MILLÉSIMES	m i l e z i m
MILLÉSIMÉES	m i l e z i m e
MINIBUS	m i n i b y s
MINUS	m i n y s
MINUTIE	m i n y s i
MIONS	m j õ s
MISSCLICK	m i s s k l i k
MITOCHONDRIE	m i t o k õ d ʁ i
MJC	ɛ m ʒ i s e
MLI	ɛ m ɛ l i
MMES	m ø
MMO	ɛ m ɛ m o
MMORPG	ɛ m ɛ m o ɛ ʁ p e ʒ e
MN	m i n y t
MOEURS	m œ ʁ s
MOHAMMED	m ɔ a m ɛ d
MOLSHEIM	m ɔ l s a j m
MOMENT	m ɔ m ã
MOMMENHEIM	m ɔ m œ n a j m
MONCTON	m õ k t ɔ n
MONDELANGE	m õ d œ l ã ʒ
MONDEVILLE	m õ d œ v i l
MONSIEUR	m œ s j ø
MONSIEURS	m œ s j ø
MONTIONS	m õ t j õ
MONTLUEL	m õ l ɥ ɛ l
MONTMEYRAN	m õ m e ʁ ã
MONTRICHARD	m õ ʁ i ʃ a ʁ
MONUMENT	m ɔ n y m ã
MORBIHAN	m ɔ ʁ b i j ã
MORCENX	m ɔ ʁ s ɛ̃ k s
MORDICUS	m ɔ ʁ d i k y s
MORRIS	m ɔ ʁ i s
MOSAÏQUE	m ɔ z a i k
MOSAÏQUES	m ɔ z a i k
MOTUS	m ɔ t y s
MOUDJAHIDIN	m u d ʒ a i d i n
MOUEN	m u ã
MOURRAS	m u ʁ ʁ a
MOURRIEZ	m u ʁ ʁ j e
MOYENMÉTRAGE	m w a j ã m e t ʁ a ʒ
MOYSSET	m ɔ j s ɛ
MOZZARELLA	m ɔ d z a ʁ ɛ l a
MOZZARELLAS	m ɔ d z a ʁ ɛ l a
MPA	m p a
MPEG	ɛ m p e ø ʒ e
MSA	m s a
MUCUS	m y k y s
MUEZZINS	m ɥ ɛ d z ɛ̃
MUGS	m y
MUHARREM	m ɥ a ʁ ɛ m
MULTIMILLIARDAIRE	m y l t i m i l j a ʁ d ɛ ʁ
MULTIMILLIARDAIRES	m y l t i m i l j a ʁ d ɛ ʁ
MULTIMILLIONNAIRE	m y l t i m i l j ɔ n ɛ ʁ
MULTIMILLIONNAIRES	m y l t i m i l j ɔ n ɛ ʁ
MUNSTER	m œ̃ s t ɛ ʁ
MW	ɛ m d u b l ə v e
MY	m a i
MYORELAXANT	m j ɔ ʁ œ l a k s ã
MYOSOTIS	m j o z ɔ t i s
MZ	ɛ m z ɛ d
MÂCHEFER	m a ʃ f ɛ ʁ
MÉCONTENT	m e k õ t ã
MÉDITIONS	m e d i t j õ
MÉMENTO	m e m ɛ̃ t o
MÉMENTOS	m e m ɛ̃ t o
MÉRITIONS	m e ʁ i t j õ
MÉTIS	m e t i s
MŒURS	m œ ʁ s
N	ɛ n
N'	n œ
N'AI	n e
N'ES	n ɛ
N'HÉSITEZ	n ɛ z e t ɛ
N'Y	n i g ʁ ɛ k
NAIMA	n a i m a
NAMBSHEIM	n ã b ʃ ɛ̃
NANTIAT	n ã t i a
NANTUA	n ã t y a
NATHANEL	n a t a n a ɛ l
NBI	ɛ n b e i
NBIC	ɛ n b e i s e
NC	ɛ n s e
NCIS	ɛ n s e i ɛ s
NE	n œ
NECKER	n ɛ k ɛ ʁ
NEEM	n ã
NEIL	n ɛ l
NELSON	n ɛ l s ɔ n
NER	n e
NES	n ø
NESLE	n ɛ l
NET	n ɛ t
NETANYAHU	n e t a ɲ a u
NETS	n ɛ t
NETSCAPE	n e t s k e p
NEUWIRTH	n œ w i ʁ t
NEVER	n œ v ɛ ʁ
NEW	n u
NEWBIE	n e b i
NEWBIES	n e b i
NEWFIE	n e f i
NEWPORT	n j u p ɔ ʁ t
NEWS	n ɛ
NEWSER	n e s e
NEWSLETTER	n ɛ s l e t ɛ ʁ
NEWTON	n ɛ t ɔ n
NEWTONS	n ɛ t ɔ n
NEXON	n e k s õ
NEYRON	n e ʁ õ
NGUYÊN	n g ɥ i j ɛ n
NHK	ɛ n a ʃ k a
NIEDERSCHAEFFOLSHEIM	n i d e ʁ ʃ e f ɔ l s a j m
NIEUL	ɲ œ l
NIGER	n i ʒ ɛ ʁ
NIMBOSTRATUS	n ɛ̃ b ɔ s t ʁ a t y s
NIMBUS	n ɛ̃ b y s
NIÈME	ɛ n j ɛ m
NKVD	ɛ n k a v e d e
NN	ɛ n ɛ n
NOEL	n œ l
NOM	n õ
NOMS	n õ
NOTIONS	n ɔ s j õ
NOUAKCHOTT	n w a k ʃ ɔ t
NOUNOURS	n u n u ʁ s
NOV	n ɔ v ã b ʁ ə
NPA	ɛ n p e a
NRA	ɛ n ɛ ʁ a
NSA	n s a
NSC	ɛ n ɛ s s e
NTIC	n t i k
NTSC	ɛ n t e ɛ s s e
NUCLÉUS	n y k l e y s
NUDGE	n a d ʒ
NURBS	ɛ n y ɛ ʁ b e ɛ s
NUTRIMENT	n y t ʁ i m ã
NYONS	ɲ õ s
NÉGLIGENT	n e g l i ʒ ã
NÉGUS	n e g y s
OASIS	ɔ a z i s
OBERHERGHEIM	ɔ b e ʁ a ʁ g a j m
OBERSAASHEIM	ɔ b ɛ ʁ s a a ʃ ɛ̃
OBSOLESCENT	ɔ b s ɔ l ɛ s ã
OCCIDENT	ɔ k s i d ã
OCCIPUT	ɔ k s i p y t
OCR	o s e ɛ ʁ
OCT	ɔ k t ɔ b ʁ ə
OCULUS	ɔ k y l y s
ODER	o d ɛ ʁ
ODEREN	ɔ d e ʁ ɛ n
OEM	œ m
OEUFS	ø
OFFSET	ɔ f s ɛ t
OGM	ɔ g m
OIGNON	ɔ ɲ õ
OIGNONS	ɔ ɲ õ
OIM	w ɛ̃
OK	ɔ k e
OKLM	o k a ɛ l ɛ m
OLEMPS	ɔ l ɛ̃ p s
OLP	ɔ l
OMBELINE	õ b e l i n
OMICRON	ɔ m i k ʁ ɔ n
OMNIBUS	ɔ m n i b y s
OMNIPOTENT	ɔ m n i p ɔ t ã
OMNIPRÉSENT	ɔ m n i p ʁ e z ã
OMNISCIENT	ɔ m n i s j ã
ONE	w a n
ONGUENT	õ g ã
ONKELINX	õ k l ɛ̃ k s
OP	o p e
OPCVM	ɔ p k v m
OPEN	ɔ p ɛ n
OPENS	ɔ p ɛ n
OPHRYS	ɔ f ʁ i s
OPM	o p e ɛ m
OPPRIMENT	ɔ p ʁ i m
OPULENT	ɔ p y l ã
OPUS	ɔ p y s
OQTF	o k y t e ɛ f
ORIENT	ɔ ʁ j ã
ORL	o ɛ ʁ ɛ l
ORNEX	ɔ ʁ n e
ORR	o ɛ ʁ ɛ ʁ
OS	ɔ s
OSCILLANT	o s i j ã
OSCILLANTE	ɔ s i l ã t
OSCILLANTS	ɔ s i l ã
OSCILLATEUR	ɔ s i l a t œ ʁ
OSCILLATEURS	ɔ s i l a t œ ʁ
OSCILLATION	ɔ s i l a s j õ
OSCILLATIONS	ɔ s i l a s j õ
OSCILLATOIRE	ɔ s i l a t w a ʁ
OSCILLE	ɔ s i j
OSCILLER	ɔ s i l e
OSCILLOSCOPE	ɔ s i l ɔ s k ɔ p
OSCILLOSCOPES	ɔ s i l ɔ s k ɔ p
OSNY	ɔ n i
OSP	ɔ s
OTIS	ɔ t i s
OUAIP	w ɛ p
OUED	w ɛ d
OUEDS	w ɛ d
OUEJ	w ɛ ʒ
OUISTREHAM	w i s t ʁ e a m
OURS	u ʁ s
OUT	u t
OUTREMER	u t ʁ œ m ɛ ʁ
OUTREMERS	u t ʁ œ m ɛ ʁ
OXFORD	ɔ k s f ɔ ʁ d
OYATS	ɔ j a
OÔ	ɔ o
OÙ	u
P	p e
P'	p e
PACEMAKER	p ɛ s m ɛ k œ ʁ
PACEMAKERS	p ɛ s m ɛ k œ ʁ
PACKAGE	p a k ɛ d ʒ
PACKAGES	p a k ɛ d ʒ
PACKARD	p a k a ʁ d
PAIMENT	p ɛ m ã
PALMARÈS	p a l m a ʁ ɛ s
PANCAKES	p ã k ɛ k
PANCRÉAS	p ã k ʁ e a s
PAP	p a
PAPARAZZI	p a p a ʁ a d z i
PAPARAZZIS	p a p a ʁ a d z i
PAPYRUS	p a p i ʁ y s
PARAMOUNT	p a ʁ a m u n t
PARASOL	p a ʁ a s ɔ l
PARASOLS	p a ʁ a s ɔ l
PARAVENT	p a ʁ a v ã
PARCEQUE	p a ʁ s k
PARDESSUS	p a ʁ d e s y
PAREMPUYRE	p a ʁ ã p ɥ i ʁ
PARENT	p a ʁ ã
PARSÈMENT	p a ʁ s ɛ m
PASADENA	p a z a d e n a
PASCOE	p a s k ø
PASSEPOILS	p a s p w a l
PASTIS	p a s t i s
PAT	p a t
PATAQUÈS	p a t a k ɛ s
PATENT	p a t ã
PATIENT	p a s j ã
PATS	p a t
PAUL	p ɔ l
PAULUS	p ɔ l y s
PAULX	p o
PAYET	p a j ɛ
PCA	p e s e a
PCE	p s ø
PCI	p s i
PDA	p d a
PDI	p d i
PDU	p d y
PE	p ø
PELVIS	p ɛ l v i s
PEN	p ɛ n
PENH	p ɛ n
PENTIUM	p ɛ n t j ɔ m
PERDRIX	p ɛ ʁ d ʁ i
PEREZ	p ɛ ʁ ɛ z
PERFS	p ɛ ʁ f
PERL	p ɛ ʁ l
PERMANENT	p ɛ ʁ m a n ã
PERRET	p e ʁ e
PERROT	p e ʁ o
PERSON	p e ʁ s õ
PERTINENT	p ɛ ʁ t i n ã
PES	p ø
PESETA	p e z e t a
PESETAS	p e z e t a
PESSOA	p e s ɔ a
PETRUCCIANI	p œ t ʁ y k s j a n i
PETTIGREW	p e t i g ʁ ɛ
PFULGRIESHEIM	p f y l g ʁ i s a j m
PGI	p e ʒ e i
PH	p e a ʃ
PHALLUS	f a l y s
PHARAON	f a ʁ a õ
PHILLIPS	f i l i p s
PHIMOSIS	f i m o z i s
PHNOM	p n ɔ m
PHP	p e a ʃ p e
PHYSALIS	f i z a l i s
PIAZZA	p j a d z a
PIB	p e i b e
PICKPOCKET	p i k p ɔ k ɛ t
PIED	p j e
PIERREFONDS	p j e ʁ f õ
PIETÀ	p j e t a
PIEU	p i œ
PIMENT	p i m ã
PIN'S	p ɛ̃
PIPIT	p i p i t
PISSOS	p i s ɔ s
PIZZA	p i d z a
PIZZAS	p i d z a
PIZZAÏOLO	p i d z a j ɔ l o
PIZZERIA	p i d z e ʁ j a
PIZZERIAS	p i d z e ʁ j a
PIZZICATO	p i d z i k a t o
PJJ	p e ʒ i ʒ i
PKK	p e k a k a
PL	p l a s
PLEUVE	p l ø v
PLEUVENT	p l ø v
PLEXIGLAS	p l ɛ k s i g l a s
PLEXUS	p l ɛ k s y s
PLOUAGAT	p l u a g a t
PLOUBEZRE	p l u b ɛ ʁ
PLOUIGNEAU	p l w i ɲ o
PLUS	p l y s
PMA	p m a
PMI	p m i
PMU	p m y
PNA	p e ɛ n a
PNUD	p n y
POKER	p ɔ k ɛ ʁ
POLDER	p ɔ l d ɛ ʁ
POLDERS	p ɔ l d ɛ ʁ
POLLEN	p ɔ l ɛ n
POLLENS	p ɔ l ɛ n
POLLESTRES	p ɔ j ɛ s t ʁ
POLYESTER	p ɔ l i ɛ s t ɛ ʁ
POLYESTERS	p ɔ l i ɛ s t ɛ ʁ
POLYVALENT	p ɔ l i v a l ã
PONCELET	p õ s ɔ l ɛ
POP	p ɔ p
PORC	p ɔ ʁ
POSTER	p ɔ s t ɛ ʁ
POSTERIORI	p ɔ s t e ʁ j ɔ ʁ i
POSTERS	p ɔ s t ɛ ʁ
POSTNOMS	p ɔ s t n õ
POUANCÉ	p u ã s e
POULENC	p u l ɛ̃ k
POULIQUEN	p u l i k ɛ̃
POULS	p u
POURCENT	p u ʁ s ã
POWER	p ɔ w ɛ ʁ
POWERPOINT	p a u e ʁ p o i n t
POËLE	p w a l
POËLES	p w a l
PP	p a ʒ
PPA	p e p e a
PPDA	p d a
PPI	p i
PPRE	p e p e ɛ ʁ ø
PPU	p e p e y
PQ	p e k y
PQR	p e k y ɛ ʁ
PRAXIS	p ʁ a k s i s
PRESCILLIA	p ʁ e s i l j a
PRESLES	p ʁ ɛ l
PRESQUE	p ʁ ɛ s k ə
PRIX	p ʁ i
PROCESSUS	p ʁ ɔ s e s y s
PROCLAMENT	p ʁ ɔ k l a m
PROF	p ʁ ɔ f ɛ s œ ʁ
PROFITIONS	p ʁ ɔ f i t j õ
PROGRAMMENT	p ʁ ɔ g ʁ a m
PROLAPSUS	p ʁ ɔ l a p s y s
PROPHÉTIE	p ʁ ɔ f e s i
PROPHÉTIES	p ʁ ɔ f e s i
PROPOLIS	p ʁ ɔ p ɔ l i s
PROSPECT	p ʁ ɔ s p ɛ k t
PROSPECTS	p ʁ ɔ s p ɛ k t
PROSPECTUS	p ʁ ɔ s p ɛ k t y s
PROÉMINENT	p ʁ ɔ e m i n ã
PRUDENT	p ʁ y d ã
PRURIT	p ʁ y ʁ i t
PRURITS	p ʁ y ʁ i t
PRÉADOLESCENT	p ʁ e a d ɔ l ɛ s ã
PRÉCAUTIONS	p ʁ e k o s j õ
PRÉNOMMENT	p ʁ e n ɔ m
PRÉSENT	p ʁ e z ã
PRÉSIDENT	p ʁ e z i d ã
PRÉSÉRIE	p ʁ e s e ʁ i
PRÉTÉRIT	p ʁ e t e ʁ i t
PRÉVIENT	p ʁ e v j ɛ̃
PRÉVOST	p ʁ e v ɔ
PRÉÉMINENT	p ʁ e e m i n ã
PSC	p e ɛ s s e
PSE	p s ø
PSOE	p s ø
PSORIASIS	p s ɔ ʁ j a z i s
PSYCHOSE	p s i k o z
PSYCHOSES	p s i k o z
PSYCHÉ	p s i ʃ e
PSYCHÉS	p s i ʃ e
PT	p w ɛ̃
PTAC	p e t e a s e
PTOSIS	p t o z i s
PTS	p w ɛ̃
PTSI	p e t e ɛ s i
PUB	p œ b
PUBESCENT	p y b ɛ s ã
PUBIS	p y b i s
PUBS	p œ b
PUCK	p a k
PUGNACE	p y g n a s
PUGNACITÉ	p y g n a s i t e
PUISQUE	p ɥ i s k ə
PULVERSHEIM	p y l v e ʁ s a j m
PUPILLAIRE	p y p i l ɛ ʁ
PUSILLANIME	p y z i l a n i m
PUSILLANIMITÉ	p y z i l a n i m i t e
PUSILLANIMITÉS	p y z i l a n i m i t e
PUY	p ɥ i
PUZZLE	p œ z l ə
PUZZLES	p œ z l ə
PÈLERIN	p ɛ l œ ʁ ɛ̃
PÈLERINAGE	p ɛ l œ ʁ i n a ʒ
PÈLERINAGES	p ɛ l œ ʁ i n a ʒ
PÈLERINE	p ɛ l œ ʁ i n
PÈLERINES	p ɛ l œ ʁ i n
PÈLERINS	p ɛ l œ ʁ ɛ̃
PÉGUY	p e g y
PÉNESTIN	p e n e s t ɛ̃
PÉNICILLINE	p e n i s i l i n
PÉNICILLINES	p e n i s i l i n
PÉNIS	p e n i s
PÉNITENT	p e n i t ã
PÉNITENTIER	p e n i t ã s j e
PÉONS	p e ɔ n
PÉRIMENT	p e ʁ i m
PÉRIPÉTIE	p e ʁ i p e s i
PÉRIPÉTIES	p e ʁ i p e s i
PÉRÉQUATION	p e ʁ e k a s j õ
PÉTIOLE	p e s j ɔ l
PÉTIOLES	p e s j ɔ l
PÉTRONILLE	p e t ʁ ɔ n i l
QCM	k y s e ɛ m
QPC	k y p e s e
QS	k y ɛ s
QSD	k y ɛ s d e
QU	k ɛ
QU'ERIN	k ɛ ʁ i n
QUA	k w a
QUADRANT	k a d ʁ ã
QUADRANTS	k a d ʁ ã
QUADRETTE	k a d ʁ ɛ t
QUADRIGE	k a d ʁ i ʒ
QUADRILLION	k a d ʁ i l j õ
QUADRILLIONS	k a d ʁ i l j õ
QUANT	k ã t
QUARANTE-DEUX	k a ʁ ã t œ d ø
QUARANTE-HUIT	k a ʁ ã t ɥ i t
QUARANTE-QUATRE	k a ʁ ã t k a t ʁ
QUARANTE-TROIS	k a ʁ ã t œ t ʁ w a
QUARK	k w a ʁ k
QUARKS	k w a ʁ k
QUARTE	k w a ʁ t
QUARTES	k w a ʁ t
QUARTET	k w a ʁ t ɛ
QUARTETS	k w a ʁ t ɛ
QUARTETTE	k w a ʁ t ɛ t
QUARTO	k w a ʁ t o
QUARTZ	k w a ʁ t s
QUARTZITE	k w a ʁ t s i t
QUARTZITES	k w a ʁ t s i t
QUARTÉ	k w a ʁ t e
QUATER	k w a t ɛ ʁ
QUATERNIONS	k w a t ɛ ʁ n j õ
QUATRE-VINGT-CINQ	k a t ʁ œ v ɛ̃ s ɛ̃ k
QUATRE-VINGT-DEUX	k a t ʁ œ v ɛ̃ d ø
QUATRE-VINGT-DIX	k a t ʁ œ v ɛ̃ d i s
QUATRE-VINGT-DIX-HUIT	k a t ʁ œ v ɛ̃ d i z ɥ i t
QUATRE-VINGT-DIX-NEUF	k a t ʁ œ v ɛ̃ d i z n œ f
QUATRE-VINGT-DIX-SEPT	k a t ʁ œ v ɛ̃ d i s ɛ t
QUATRE-VINGT-DOUZE	k a t ʁ œ v ɛ̃ d u z
QUATRE-VINGT-HUIT	k a t ʁ œ v ɛ̃ ɥ i t
QUATRE-VINGT-NEUF	k a t ʁ œ v ɛ̃ n œ f
QUATRE-VINGT-ONZE	k a t ʁ œ v ɛ̃ õ z
QUATRE-VINGT-QUATORZE	k a t ʁ œ v ɛ̃ k a t ɔ ʁ z
QUATRE-VINGT-QUATRE	k a t ʁ œ v ɛ̃ k a t ʁ
QUATRE-VINGT-QUINZE	k a t ʁ œ v ɛ̃ k ɛ̃ z
QUATRE-VINGT-SEIZE	k a t ʁ œ v ɛ̃ s ɛ z
QUATRE-VINGT-SEPT	k a t ʁ œ v ɛ̃ s ɛ t
QUATRE-VINGT-SIX	k a t ʁ œ v ɛ̃ s i s
QUATRE-VINGT-TREIZE	k a t ʁ œ v ɛ̃ t ʁ ɛ z
QUATRE-VINGT-TROIS	k a t ʁ œ v ɛ̃ t ʁ w a
QUATRE-VINGT-UN	k a t ʁ œ v ɛ̃ œ̃
QUATRE-VINGTS	k a t ʁ œ v ɛ̃
QUATREVINGT	k a t ʁ œ v ɛ̃
QUATUOR	k w a t ɥ ɔ ʁ
QUATUORS	k w a t ɥ ɔ ʁ
